"AreaCode","AreaName","CategoryAttribute","Denominator","Factor","HighestPriorityNotificationType","IndicatorCode","IndicatorName","IndicatorShortName","LowerConfidenceLimit","MetricCategoryName","MetricCategoryTypeName","NotificationCount","Numerator","TimePeriodName","UpperConfidenceLimit","Value","ValueNote"
"E54000040","Bath and North East Somerset, Swindon and Wiltshire","Persons",114680,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",45.16,"Persons","Sex",0,52125,"To March 2022",45.74,45.45,NA
"E54000024","Bedfordshire, Luton and Milton Keynes","Persons",99945,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",49.67,"Persons","Sex",0,49950,"To March 2022",50.29,49.98,NA
"E54000017","Birmingham and Solihull","Persons",131520,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",53.72,"Persons","Sex",0,71010,"To March 2022",54.26,53.99,NA
"E54000039","Bristol, North Somerset and South Gloucestershire","Persons",114185,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",44.21,"Persons","Sex",0,50805,"To March 2022",44.78,44.49,NA
"E54000044","Buckinghamshire, Oxfordshire and Berkshire West","Persons",198960,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",42.43,"Persons","Sex",0,84855,"To March 2022",42.87,42.65,NA
"E54000021","Cambridgeshire and Peterborough","Persons",96215,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",45.62,"Persons","Sex",0,44195,"To March 2022",46.25,45.93,NA
"E54000008","Cheshire and Merseyside","Persons",348095,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",48.21,"Persons","Sex",0,168395,"To March 2022",48.54,48.38,NA
"E54000036","Cornwall and the Isles of Scilly Health and Social Care Partnership","Persons",52465,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",45.35,"Persons","Sex",0,24015,"To March 2022",46.2,45.77,NA
"E54000018","Coventry and Warwickshire","Persons",118510,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",45.84,"Persons","Sex",0,54655,"To March 2022",46.4,46.12,NA
"E54000050","Cumbria and North East","Persons",421455,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",50.64,"Persons","Sex",0,214055,"To March 2022",50.94,50.79,NA
"E54000037","Devon","Persons",134680,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",45.3,"Persons","Sex",0,61360,"To March 2022",45.83,45.56,NA
"E54000041","Dorset","Persons",96945,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",42.21,"Persons","Sex",0,41220,"To March 2022",42.83,42.52,NA
"E54000029","East London Health and Care Partnership","Persons",201230,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",54.49,"Persons","Sex",0,110095,"To March 2022",54.93,54.71,NA
"E54000034","Frimley Health and Care ICS","Persons",77530,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",48.32,"Persons","Sex",0,37735,"To March 2022",49.02,48.67,NA
"E54000043","Gloucestershire","Persons",83000,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",41.51,"Persons","Sex",0,34725,"To March 2022",42.18,41.84,NA
"E54000007","Greater Manchester Health and Social Care Partnership","Persons",349080,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",52.21,"Persons","Sex",0,182820,"To March 2022",52.54,52.37,NA
"E54000042","Hampshire and the Isle of Wight","Persons",208905,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",42.33,"Persons","Sex",0,88875,"To March 2022",42.75,42.54,NA
"E54000048","Healthier Lancashire and South Cumbria","Persons",236330,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",47.69,"Persons","Sex",0,113190,"To March 2022",48.1,47.9,NA
"E54000019","Herefordshire and Worcestershire","Persons",117165,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",41.47,"Persons","Sex",0,48920,"To March 2022",42.03,41.75,NA
"E54000025","Hertfordshire and West Essex","Persons",167790,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",49.99,"Persons","Sex",0,84285,"To March 2022",50.47,50.23,NA
