"AreaCode","AreaName","CategoryAttribute","Denominator","Factor","HighestPriorityNotificationType","IndicatorCode","IndicatorName","IndicatorShortName","LowerConfidenceLimit","MetricCategoryName","MetricCategoryTypeName","NotificationCount","Numerator","TimePeriodName","UpperConfidenceLimit","Value","ValueNote"
"E54000040","Bath and North East Somerset, Swindon and Wiltshire","Persons",39810,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",78.32,"Persons","Sex",0,31335,"To March 2022",79.12,78.72,NA
"E54000024","Bedfordshire, Luton and Milton Keynes","Persons",33530,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",82.19,"Persons","Sex",0,27700,"To March 2022",83.01,82.6,NA
"E54000017","Birmingham and Solihull","Persons",45970,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",83.59,"Persons","Sex",0,38585,"To March 2022",84.26,83.93,NA
"E54000039","Bristol, North Somerset and South Gloucestershire","Persons",43625,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",80.16,"Persons","Sex",0,35130,"To March 2022",80.9,80.53,NA
"E54000044","Buckinghamshire, Oxfordshire and Berkshire West","Persons",69685,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",79.88,"Persons","Sex",0,55875,"To March 2022",80.47,80.18,NA
"E54000021","Cambridgeshire and Peterborough","Persons",33120,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",80.57,"Persons","Sex",0,26825,"To March 2022",81.41,80.99,NA
"E54000008","Cheshire and Merseyside","Persons",139630,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",80.82,"Persons","Sex",0,113140,"To March 2022",81.23,81.03,NA
"E54000036","Cornwall and the Isles of Scilly Health and Social Care Partnership","Persons",36650,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",77.56,"Persons","Sex",0,28585,"To March 2022",78.41,77.99,NA
"E54000018","Coventry and Warwickshire","Persons",41550,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",79.75,"Persons","Sex",0,33295,"To March 2022",80.51,80.13,NA
"E54000050","Cumbria and North East","Persons",176895,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",83.85,"Persons","Sex",0,148630,"To March 2022",84.19,84.02,NA
"E54000037","Devon","Persons",60810,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",79.16,"Persons","Sex",0,48335,"To March 2022",79.8,79.48,NA
"E54000041","Dorset","Persons",42115,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",77.85,"Persons","Sex",0,32950,"To March 2022",78.64,78.24,NA
"E54000029","East London Health and Care Partnership","Persons",57710,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",84.13,"Persons","Sex",0,48725,"To March 2022",84.72,84.43,NA
"E54000034","Frimley Health and Care ICS","Persons",29760,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",79.76,"Persons","Sex",0,23870,"To March 2022",80.66,80.21,NA
"E54000043","Gloucestershire","Persons",30850,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",78.44,"Persons","Sex",0,24340,"To March 2022",79.35,78.9,NA
"E54000007","Greater Manchester Health and Social Care Partnership","Persons",138165,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",83.01,"Persons","Sex",0,114955,"To March 2022",83.4,83.2,NA
"E54000042","Hampshire and the Isle of Wight","Persons",83845,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",78.51,"Persons","Sex",0,66065,"To March 2022",79.06,78.79,NA
"E54000048","Healthier Lancashire and South Cumbria","Persons",100580,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",80.88,"Persons","Sex",0,81595,"To March 2022",81.36,81.12,NA
"E54000019","Herefordshire and Worcestershire","Persons",42775,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",78.48,"Persons","Sex",0,33735,"To March 2022",79.25,78.87,NA
"E54000025","Hertfordshire and West Essex","Persons",57295,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",81.61,"Persons","Sex",0,46945,"To March 2022",82.24,81.93,NA
"E54000051","Humber, Coast and Vale","Persons",92520,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",80.21,"Persons","Sex",0,74450,"To March 2022",80.72,80.47,NA
"E54000012","Joined Up Care Derbyshire","Persons",50155,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",81.62,"Persons","Sex",0,41110,"To March 2022",82.3,81.96,NA
"E54000032","Kent and Medway","Persons",83915,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",79.6,"Persons","Sex",0,67025,"To March 2022",80.15,79.88,NA
"E54000015","Leicester, Leicestershire and Rutland","Persons",43425,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",83.18,"Persons","Sex",0,36275,"To March 2022",83.88,83.53,NA
"E54000013","Lincolnshire","Persons",38095,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",81.86,"Persons","Sex",0,31330,"To March 2022",82.62,82.24,NA
"E54000026","Mid and South Essex","Persons",43820,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",81.96,"Persons","Sex",0,36070,"To March 2022",82.67,82.32,NA
"E54000022","Norfolk and Waveney Health and Care Partnership","Persons",51890,1,NA,"CVDP009CHOL","Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.","Cholesterol: CVD treated with LLT (CVDP009CHOL)",79.04,"Persons","Sex",0,41195,"To March 2022",79.73,79.39,NA
